price,carat,cut,color,clarity,depth,table,x,y,z,ratio_length_width,carat_log,shape
326,0.21,3,5,2,59.8,61.0,3.89,3.84,2.31,1.0130208333333335,-1.5606477482646683,3
326,0.23,4,5,1,61.5,55.0,3.95,3.98,2.43,0.992462311557789,-1.4696759700589417,7
327,0.23,1,5,4,56.9,65.0,4.05,4.07,2.31,0.9950859950859949,-1.4696759700589417,2
334,0.29,3,1,3,62.4,58.0,4.2,4.23,2.63,0.9929078014184397,-1.2378743560016174,6
335,0.31,1,0,1,63.3,58.0,4.34,4.35,2.75,0.9977011494252874,-1.171182981502945,6
337,0.22,0,5,3,65.1,61.0,3.87,3.78,2.49,1.023809523809524,-1.5141277326297755,6
337,0.26,2,2,2,61.9,55.0,4.07,4.11,2.53,0.9902676399026764,-1.3470736479666092,7
338,0.23,2,2,4,59.4,61.0,4.0,4.05,2.39,0.9876543209876544,-1.4696759700589417,3
339,0.3,1,0,2,64.0,55.0,4.25,4.28,2.73,0.9929906542056074,-1.2039728043259361,6
340,0.23,4,0,4,62.8,56.0,3.93,3.9,2.46,1.0076923076923077,-1.4696759700589417,6
342,0.22,3,4,2,60.4,61.0,3.88,3.84,2.33,1.0104166666666667,-1.5141277326297755,3
344,0.31,4,0,1,62.2,54.0,4.35,4.37,2.71,0.9954233409610983,-1.171182981502945,6
345,0.2,3,5,1,60.2,62.0,3.79,3.75,2.27,1.0106666666666666,-1.6094379124341003,3
348,0.3,4,1,1,62.0,54.0,4.31,4.34,2.68,0.9930875576036866,-1.2039728043259361,6
351,0.3,1,1,1,63.3,56.0,4.26,4.3,2.71,0.9906976744186047,-1.2039728043259361,6
351,0.3,1,0,2,63.8,56.0,4.23,4.26,2.71,0.9929577464788734,-1.2039728043259361,6
351,0.3,2,0,2,62.7,59.0,4.21,4.27,2.66,0.9859484777517565,-1.2039728043259361,6
353,0.23,2,2,4,61.0,57.0,3.94,3.96,2.41,0.9949494949494949,-1.4696759700589417,3
354,0.23,2,3,5,60.4,58.0,3.97,4.01,2.41,0.9900249376558604,-1.4696759700589417,3
357,0.24,2,5,4,61.5,57.0,3.99,4.07,2.48,0.9803439803439803,-1.4271163556401458,6
357,0.23,1,5,3,61.8,63.0,3.88,3.89,2.4,0.9974293059125964,-1.4696759700589417,6
357,0.25,4,2,2,62.8,54.0,4.05,4.07,2.55,0.9950859950859949,-1.3862943611198906,6
357,0.3,2,0,3,62.2,57.0,4.28,4.3,2.67,0.9953488372093025,-1.2039728043259361,6
357,0.23,1,4,3,63.8,57.0,3.93,3.84,2.48,1.0234375,-1.4696759700589417,6
357,0.23,2,4,4,60.9,57.0,3.96,3.99,2.42,0.9924812030075187,-1.4696759700589417,3
357,0.23,2,6,3,60.5,61.0,3.96,3.97,2.4,0.9974811083123425,-1.4696759700589417,3
360,0.28,2,2,2,61.5,56.0,4.21,4.24,2.6,0.9929245283018867,-1.2729656758128873,7
360,0.3,4,1,1,62.0,55.0,4.32,4.33,2.68,0.9976905311778291,-1.2039728043259361,7
361,0.32,1,6,0,64.0,54.0,4.33,4.36,2.78,0.9931192660550459,-1.1394342831883648,6
361,0.27,4,3,1,62.3,55.0,4.14,4.18,2.59,0.9904306220095693,-1.3093333199837622,7
362,0.26,4,2,1,62.5,53.0,4.09,4.13,2.57,0.9903147699757869,-1.3470736479666092,6
362,0.24,2,5,3,60.8,56.0,4.02,4.04,2.45,0.9950495049504949,-1.4271163556401458,7
363,0.31,2,0,2,62.7,59.0,4.29,4.32,2.7,0.9930555555555555,-1.171182981502945,6
363,0.31,2,0,2,61.9,59.0,4.28,4.32,2.66,0.9907407407407407,-1.171182981502945,6
363,0.31,1,0,2,63.5,55.0,4.3,4.33,2.74,0.9930715935334873,-1.171182981502945,6
363,0.25,4,3,2,62.3,53.0,4.06,4.09,2.54,0.9926650366748165,-1.3862943611198906,6
363,0.31,3,0,2,60.9,60.0,4.36,4.38,2.66,0.995433789954338,-1.171182981502945,3
364,0.24,4,3,2,62.2,54.0,3.97,4.0,2.48,0.9925,-1.4271163556401458,6
364,0.23,4,3,2,62.0,54.0,3.95,3.99,2.46,0.9899749373433584,-1.4696759700589417,6
365,0.32,3,0,2,62.2,59.0,4.37,4.41,2.73,0.9909297052154195,-1.1394342831883648,6
367,0.2,4,5,3,59.7,55.0,3.86,3.84,2.3,1.0052083333333333,-1.6094379124341003,7
367,0.2,4,6,3,61.5,57.0,3.81,3.77,2.33,1.0106100795755968,-1.6094379124341003,6
367,0.3,4,1,1,61.9,56.0,4.3,4.32,2.67,0.9953703703703702,-1.2039728043259361,7
367,0.24,2,5,3,64.5,57.0,3.88,3.93,2.52,0.9872773536895674,-1.4271163556401458,6
367,0.25,4,2,3,61.0,55.0,4.09,4.11,2.5,0.9951338199513381,-1.3862943611198906,7
367,0.24,2,6,4,61.1,60.0,3.96,3.99,2.43,0.9924812030075187,-1.4271163556401458,6
367,0.2,3,5,3,59.7,62.0,3.84,3.8,2.28,1.0105263157894737,-1.6094379124341003,3
367,0.2,3,5,3,59.8,62.0,3.79,3.77,2.26,1.0053050397877985,-1.6094379124341003,3
367,0.2,3,6,3,61.7,60.0,3.77,3.72,2.31,1.0134408602150538,-1.6094379124341003,6
368,0.3,3,0,3,60.6,59.0,4.34,4.38,2.64,0.9908675799086758,-1.2039728043259361,3
368,0.3,2,0,3,61.6,61.0,4.28,4.33,2.65,0.9884526558891455,-1.2039728043259361,6
368,0.3,1,2,1,63.9,56.0,4.24,4.27,2.72,0.9929742388758783,-1.2039728043259361,6
368,0.3,1,0,3,63.4,57.0,4.22,4.26,2.69,0.9906103286384976,-1.2039728043259361,6
368,0.3,3,0,3,62.2,58.0,4.28,4.3,2.67,0.9953488372093025,-1.2039728043259361,6
368,0.3,3,2,1,60.9,59.0,4.32,4.35,2.64,0.9931034482758622,-1.2039728043259361,3
369,0.23,0,3,5,61.4,66.0,3.87,3.91,2.39,0.989769820971867,-1.4696759700589417,6
369,0.23,2,2,7,63.9,55.0,3.89,3.9,2.49,0.9974358974358974,-1.4696759700589417,6
370,0.24,2,4,2,61.6,57.0,4.02,4.05,2.48,0.9925925925925926,-1.4271163556401458,6
371,0.32,4,1,1,61.7,55.0,4.39,4.42,2.72,0.9932126696832578,-1.1394342831883648,7
371,0.26,4,1,3,61.8,55.0,4.12,4.17,2.56,0.9880095923261392,-1.3470736479666092,7
371,0.27,0,5,4,66.4,58.0,3.99,4.02,2.66,0.992537313432836,-1.3093333199837622,6
372,0.31,4,1,1,62.0,54.1,4.32,4.35,2.69,0.9931034482758622,-1.171182981502945,7
373,0.23,2,4,4,62.1,58.0,3.91,3.95,2.44,0.9898734177215189,-1.4696759700589417,6
