iter	Passed	Remaining
0	32	16267
1	42	10486
2	51	8453
3	59	7363
4	68	6739
5	76	6279
6	85	6000
7	93	5745
8	102	5597
9	111	5452
10	121	5395
11	129	5267
12	137	5151
13	146	5094
14	154	4998
15	163	4935
16	172	4891
17	180	4828
18	190	4813
19	198	4775
20	207	4732
21	216	4703
22	225	4676
23	233	4637
24	241	4592
25	252	4594
26	261	4581
27	270	4551
28	279	4536
29	287	4503
30	296	4489
31	305	4462
32	314	4449
33	322	4422
34	331	4407
35	340	4385
36	349	4368
37	357	4351
38	366	4329
39	374	4309
40	383	4289
41	391	4268
42	399	4245
43	407	4225
44	416	4211
45	425	4195
46	433	4182
47	442	4166
48	450	4149
49	459	4135
50	468	4121
51	477	4113
52	485	4094
53	494	4083
54	502	4064
55	511	4053
56	519	4034
57	527	4019
58	535	4000
59	543	3985
60	552	3972
61	560	3959
62	568	3944
63	576	3929
64	584	3913
65	592	3899
66	601	3884
67	608	3867
68	617	3856
69	624	3839
70	633	3825
71	641	3811
72	649	3798
73	657	3787
74	667	3781
75	676	3775
76	685	3766
77	694	3756
78	703	3750
79	712	3738
80	720	3725
81	728	3715
82	736	3702
83	745	3690
84	753	3679
85	762	3670
86	771	3660
87	779	3649
88	788	3639
89	795	3625
90	803	3612
91	812	3603
92	821	3594
93	830	3585
94	838	3574
95	846	3563
96	856	3558
97	866	3553
98	874	3543
99	883	3535
100	893	3528
101	901	3518
102	909	3507
103	918	3496
104	927	3487
105	935	3477
106	944	3470
107	952	3458
108	961	3448
109	970	3439
110	981	3439
111	989	3428
112	997	3416
113	1006	3408
114	1014	3395
115	1022	3386
116	1031	3375
117	1039	3363
118	1047	3354
119	1056	3344
120	1065	3335
121	1075	3330
122	1084	3323
123	1092	3313
124	1101	3305
125	1111	3298
126	1119	3287
127	1127	3277
128	1136	3268
129	1145	3260
130	1154	3251
131	1162	3240
132	1171	3232
133	1180	3223
134	1189	3216
135	1198	3206
136	1207	3198
137	1215	3188
138	1224	3179
139	1232	3168
140	1240	3159
141	1249	3149
142	1258	3140
143	1266	3130
144	1275	3122
145	1285	3116
146	1294	3109
147	1303	3099
148	1312	3090
149	1320	3081
150	1330	3074
151	1338	3063
152	1346	3054
153	1355	3045
154	1364	3037
155	1372	3027
156	1381	3018
157	1390	3008
158	1398	2999
159	1407	2990
160	1415	2980
161	1424	2971
162	1432	2962
163	1440	2952
164	1449	2942
165	1458	2934
166	1467	2925
167	1475	2916
168	1484	2907
169	1493	2898
170	1502	2891
171	1511	2881
172	1519	2871
173	1527	2861
174	1535	2852
175	1543	2842
176	1551	2831
177	1559	2821
178	1568	2812
179	1576	2803
180	1584	2793
181	1593	2784
182	1601	2774
183	1610	2766
184	1618	2755
185	1626	2746
186	1635	2736
187	1643	2727
188	1651	2717
189	1659	2708
190	1668	2699
191	1676	2690
192	1686	2682
193	1694	2672
194	1702	2663
195	1711	2654
196	1719	2645
197	1727	2635
198	1735	2625
199	1744	2616
200	1752	2607
201	1761	2599
202	1769	2589
203	1778	2579
204	1786	2571
205	1794	2561
206	1803	2552
207	1811	2542
208	1819	2533
209	1827	2524
210	1836	2515
211	1844	2506
212	1853	2496
213	1861	2488
214	1870	2479
215	1879	2470
216	1887	2461
217	1897	2454
218	1906	2446
219	1914	2436
220	1923	2427
221	1931	2419
222	1940	2410
223	1949	2401
224	1957	2392
225	1965	2383
226	1973	2373
227	1982	2365
228	1990	2355
229	1998	2346
230	2007	2337
231	2015	2328
232	2024	2319
233	2033	2311
234	2041	2302
235	2049	2292
236	2058	2284
237	2066	2274
238	2075	2266
239	2084	2258
240	2093	2249
241	2101	2240
242	2110	2232
243	2119	2223
244	2128	2214
245	2136	2205
246	2145	2197
247	2153	2188
248	2161	2179
249	2170	2170
250	2178	2161
251	2187	2152
252	2195	2143
253	2204	2134
254	2213	2126
255	2221	2117
256	2230	2108
257	2238	2100
258	2247	2091
259	2256	2082
260	2264	2073
261	2272	2064
262	2281	2055
263	2289	2046
264	2297	2037
265	2307	2029
266	2316	2021
267	2325	2012
268	2333	2003
269	2342	1995
270	2351	1986
271	2359	1977
